宽窄巷子,微型消防站旁,30.662132,104.055034,,,,,,,,,,,,,,,,,
井巷子,2号院励志一行物业服务有限公司,30.662304,104.054517,,,,,,,,,,,,,,,,,
339电视塔,写字楼A座商场入口,30.661574,104.094661,,,,,,,,,,,,,,,,,
窄巷子,27号院落,30.663306,104.053441,,,,,,,,,,,,,,,,,
339电视塔,塔员工通道,30.661598,104.094119,,,,,,,,,,,,,,,,,
339电视塔,0米平台游客出口,30.661598,104.094119,,,,,,,,,,,,,,,,,
宽巷子,环太四川特产旁,30.665013,104.051811,,,,,,,,,,,,,,,,,
成都市府城社区石羊市民活动中心,,30.595251,104.054995,,,,,,,,,,,,,,,,,
猛追湾游泳场,医务室,30.664539,104.095027,,,,,,,,,,,,,,,,,
猛追湾游泳场,服务台,30.664539,104.095027,,,,,,,,,,,,,,,,,
猛追湾游泳场,,30.664388,104.094928,,,,,,,,,,,,,,,,,
猛追湾游泳场,猛追湾游泳场浅水池,30.664388,104.094928,,,,,,,,,,,,,,,,,
杜甫草堂博物馆,保安部办公区旁行李寄存处,30.657694,104.033982,,,,,,,,,,,,,,,,,
成都市浣花溪公园,北大门保安亭,30.66254,104.03371,,,,,,,,,,,,,,,,,
成都双流国际机场,,30.568996,103.955601,,,,,,,,,,,,,,,,,
成都市杜甫草堂,北门游客中心医务室,30.659573,104.026464,,,,,,,,,,,,,,,,,
市政府政务中心政务大厅,六楼,30.201954,103.530202,,,,,,,,,,,,,,,,,
市政府政务中心政务大厅,一楼,30.201954,103.530202,,,,,,,,,,,,,,,,,
成都双流国际机场,CD连廊128登机口对面,30.573966,103.954710,,,,,,,,,,,,,,,,,
成都双流国际机场,,30.568996,103.955601,,取大,,,,,,,,,,,,,,,
成都双流国际机场,T1航站楼A指廊101登机口附近安检站L248-2号办公室旁,30.579361,103.95737,,就近的登机口,,,,,,,,,,,,,,,
成都双流国际机场,,30.568996,103.955601,,就近的登机口,,,,,,,,,,,,,,,
成都双流国际机场,,30.568996,103.955601,,就近的登机口,,,,,,,,,,,,,,,
